id,category,amount,day
1,produce,11.1,1
2,dairy,12.21,2
3,bakery,13.32,3
4,meat,14.43,4
5,other,15.54,5
6,produce,16.65,6
7,dairy,17.76,7
8,bakery,18.87,8
9,meat,19.98,9
10,other,21.09,10
11,produce,22.2,11
12,dairy,23.31,12
13,bakery,24.42,13
14,meat,25.53,14
15,other,26.64,15
16,produce,27.75,16
17,dairy,28.86,17
18,bakery,29.97,18
19,meat,31.08,19
20,other,32.19,20
21,produce,33.3,21
22,dairy,34.41,22
23,bakery,35.52,23
24,meat,36.63,24
25,other,37.74,25
26,produce,38.85,26
27,dairy,39.96,27
28,bakery,41.07,28
29,meat,42.18,1
30,other,43.29,2
31,produce,44.4,3
32,dairy,45.51,4
33,bakery,46.62,5
34,meat,47.73,6
35,other,48.84,7
36,produce,49.95,8
37,dairy,51.06,9
38,bakery,52.17,10
39,meat,53.28,11
40,other,54.39,12
41,produce,55.5,13
42,dairy,56.61,14
43,bakery,57.72,15
44,meat,58.83,16
45,other,59.94,17
46,produce,61.05,18
47,dairy,62.16,19
48,bakery,63.27,20
49,meat,64.38,21
50,other,65.49,22
51,produce,66.6,23
52,dairy,67.71,24
53,bakery,68.82,25
54,meat,69.93,26
55,other,71.04,27
56,produce,72.15,28
57,dairy,73.26,1
58,bakery,74.37,2
59,meat,75.48,3
60,other,76.59,4
61,produce,77.7,5
62,dairy,78.81,6
63,bakery,79.92,7
64,meat,81.03,8
65,other,82.14,9
66,produce,83.25,10
67,dairy,84.36,11
68,bakery,85.47,12
69,meat,86.58,13
70,other,87.69,14
71,produce,88.8,15
72,dairy,89.91,16
73,bakery,91.02,17
74,meat,92.13,18
75,other,93.24,19
76,produce,94.35,20
77,dairy,95.46,21
78,bakery,96.57,22
79,meat,97.68,23
80,other,98.79,24
81,produce,99.9,25
82,dairy,101.01,26
83,bakery,102.12,27
84,meat,103.23,28
85,other,104.34,1
86,produce,105.45,2
87,dairy,106.56,3
88,bakery,107.67,4
89,meat,108.78,5
90,other,109.89,6
91,produce,111.0,7
92,dairy,112.11,8
93,bakery,113.22,9
94,meat,114.33,10
95,other,115.44,11
96,produce,116.55,12
97,dairy,117.66,13
98,bakery,118.77,14
99,meat,119.88,15
100,other,120.99,16
101,produce,122.1,17
102,dairy,123.21,18
103,bakery,124.32,19
104,meat,125.43,20
105,other,126.54,21
106,produce,127.65,22
107,dairy,128.76,23
108,bakery,129.87,24
109,meat,130.98,25
110,other,132.09,26
111,produce,133.2,27
112,dairy,134.31,28
113,bakery,135.42,1
114,meat,136.53,2
115,other,137.64,3
116,produce,138.75,4
117,dairy,139.86,5
118,bakery,140.97,6
119,meat,142.08,7
120,other,143.19,8
121,produce,144.3,9
122,dairy,145.41,10
123,bakery,146.52,11
124,meat,147.63,12
125,other,148.74,13
126,produce,149.85,14
127,dairy,150.96,15
128,bakery,152.07,16
129,meat,153.18,17
130,other,154.29,18
131,produce,155.4,19
132,dairy,156.51,20
133,bakery,157.62,21
134,meat,158.73,22
135,other,159.84,23
136,produce,160.95,24
137,dairy,162.06,25
